rank,wallet_address,username,score,win_rate,wins,losses,unique_markets,pnl_all,pnl_month,pnl_week,volume_all,pnl_vol_ratio,portfolio_value,open_positions,closed_positions,avg_position_value,concentration_pct,leaderboard_rank,polymarket_profile_url
73,0x09d3273fa76282ce09f4f35a87d6f087c05f4e84,fuego66,65,83.33,5,1,11,338734.46,0,0,1258655.64,0.2691,0.05,5,6,0.01,100.0,363,https://polymarket.com/profile/0x09d3273fa76282ce09f4f35a87d6f087c05f4e84
74,0x71fc2824003cd203a9509174a95302158466171a,YLnas,65,83.33,10,2,21,147704.95,0,0,659681.64,0.2239,22.79,9,12,2.53,100.0,809,https://polymarket.com/profile/0x71fc2824003cd203a9509174a95302158466171a
75,0xf32898291d309e3c5e499c85ddd03a13268c219c,Ktulhu,65,83.33,10,2,18,112984.56,0,0,563203.14,0.2006,221.87,8,12,27.73,81.27,1016,https://polymarket.com/profile/0xf32898291d309e3c5e499c85ddd03a13268c219c
76,0xb8cd777114b6cc4d488e79eff1fef91e1c521f4b,MNBBBB,65,50.0,9,9,15,113141.23,0,0,694570.46,0.1629,0.0,0,18,0,0,1015,https://polymarket.com/profile/0xb8cd777114b6cc4d488e79eff1fef91e1c521f4b
77,0x3e1ff025f823f4c5e8175dab9144465d8ceb8643,Koha92,65,85.71,12,2,21,157924.2,0,0,1437504.23,0.1099,61491.63,8,14,7686.45,100.0,769,https://polymarket.com/profile/0x3e1ff025f823f4c5e8175dab9144465d8ceb8643
78,0x332f6e6b727c5737daf97cb9a032883eda341ee8,jackcartwright,65,90.0,45,5,94,177833.31,0,0,1674069.59,0.1062,4090.19,50,50,81.8,73.65,697,https://polymarket.com/profile/0x332f6e6b727c5737daf97cb9a032883eda341ee8
79,0x498916263b7c546e0c40be481107569d47e648c8,username136,64.0,50.0,2,2,6,125700.12,0,0,227672.34,0.5521,0.0,2,4,0.0,0,922,https://polymarket.com/profile/0x498916263b7c546e0c40be481107569d47e648c8
80,0x0c8bc7db08d5fa2ceedb919c6a2d6ab60b7823de,flowjj,64.0,83.33,5,1,6,308258.21,0,0,1092280.14,0.2822,0.0,0,6,0,0,400,https://polymarket.com/profile/0x0c8bc7db08d5fa2ceedb919c6a2d6ab60b7823de
81,0xbb903888f2d952a1845c90142267c61b4926ad7f,testocn,64.0,83.33,5,1,6,282975.1,0,0,2225103.8,0.1272,0.02,0,6,0,0,430,https://polymarket.com/profile/0xbb903888f2d952a1845c90142267c61b4926ad7f
82,0xbc43a2f0deb85ba4ad316300762972089c911540,westminster,63.09,79.41,27,7,36,139598.34,0,0,926739.18,0.1506,22925.04,3,34,7641.67,73.17,848,https://polymarket.com/profile/0xbc43a2f0deb85ba4ad316300762972089c911540
83,0xb30fe15964655f469c29a0b7b7a7305ff02a9505,Tylersbathtime,62.97,84.62,22,4,27,264275.41,0,0,2940614.9,0.0899,1643.21,1,26,1643.19,100.0,459,https://polymarket.com/profile/0xb30fe15964655f469c29a0b7b7a7305ff02a9505
84,0x02d5f92b780ec7c98d7ad0624ff017f7ae4688c7,hominylute,61.7,54.17,13,11,23,894953.63,0,0,8303489.08,0.1078,0.0,0,24,0,0,117,https://polymarket.com/profile/0x02d5f92b780ec7c98d7ad0624ff017f7ae4688c7
85,0xba664f999a18dce0aac6af698af434924a24f59d,bizyugo,61.38,84.0,21,4,30,1455390.38,0,0,8615352.76,0.1689,244327.57,5,25,48865.51,85.41,64,https://polymarket.com/profile/0xba664f999a18dce0aac6af698af434924a24f59d
86,0xa3d48312c4c35c66752b19670fefbd2f18419969,Maratk87,61.22,0,0,0,5,134086.76,135593.79,134086.76,572081.12,0.2344,224460.58,5,0,44892.12,42.56,876,https://polymarket.com/profile/0xa3d48312c4c35c66752b19670fefbd2f18419969
87,0xed2239a9150c3920000d0094d28fa51c7db03dd0,Michie,60.71,73.33,11,4,13,3095007.67,0,0,8451753.19,0.3662,0.0,1,15,0.0,0,27,https://polymarket.com/profile/0xed2239a9150c3920000d0094d28fa51c7db03dd0
88,0x7058c8a7cec79010b1927d05837dcf25f1a53505,deetown,60.63,66.67,6,3,9,1849974.96,0,0,7039312.41,0.2628,0.0,0,9,0,0,45,https://polymarket.com/profile/0x7058c8a7cec79010b1927d05837dcf25f1a53505
89,0x0562c423912e325f83fa79df55085979e1f5594f,trezorisbest,60.45,63.16,12,7,19,1900869.1,0,0,5209698.32,0.3649,0.0,0,19,0,0,43,https://polymarket.com/profile/0x0562c423912e325f83fa79df55085979e1f5594f
90,0x56687bf447db6ffa42ffe2204a05edaa20f55839,Theo4,60,81.82,18,4,14,22053933.75,0,0,43251303.17,0.5099,0.01,0,22,0,0,278,https://polymarket.com/profile/0x56687bf447db6ffa42ffe2204a05edaa20f55839
91,0x8119010a6e589062aa03583bb3f39ca632d9f887,PrincessCaro,60,80.95,17,4,14,6083643.1,0,0,23538735.4,0.2585,0.0,0,21,0,0,580,https://polymarket.com/profile/0x8119010a6e589062aa03583bb3f39ca632d9f887
92,0xcf4049c4f25447df4ef791a585675b962ad187de,om777,60,95.0,19,1,34,151865.88,13258.78,13258.78,805640.68,0.1885,0.01,14,20,0.0,0,791,https://polymarket.com/profile/0xcf4049c4f25447df4ef791a585675b962ad187de
93,0xc6174a742b2926f00e683828019cef708ff9cd8e,0xc6174a742B2926f00E683828019CEF708ff9cd8E-1762579911011,60,47.62,10,11,22,168130.99,0,0,930492.49,0.1807,0.01,1,21,0.0,0,724,https://polymarket.com/profile/0xc6174a742b2926f00e683828019cef708ff9cd8e
94,0x4df81d35f375124a59da17c91036d484261d1393,Zboub,60,26.67,4,11,15,149021.31,0,0,917552.12,0.1624,0.0,1,15,0.0,0,801,https://polymarket.com/profile/0x4df81d35f375124a59da17c91036d484261d1393
95,0xaaab8bf3bd469688d5e09bffeae8f8bf780a8eb2,022221,60,42.86,3,4,10,645642.29,0,0,4568100.34,0.1413,0.01,3,7,0.0,0,179,https://polymarket.com/profile/0xaaab8bf3bd469688d5e09bffeae8f8bf780a8eb2
96,0xdb2223cc5202a4718c3069f577ec971f71c96478,FTWUTB,60,100.0,43,0,75,464338.52,492809.97,373471.57,4468737.02,0.1039,0.0,32,43,0.0,0,267,https://polymarket.com/profile/0xdb2223cc5202a4718c3069f577ec971f71c96478
97,0x630e844afb1297c7aece83a60f4f921b972c2f2f,WildRumpus,60,32.14,9,19,31,115919.44,0,0,1159024.51,0.1,0.02,6,28,0.0,0,991,https://polymarket.com/profile/0x630e844afb1297c7aece83a60f4f921b972c2f2f
98,0xe2cf7f3715640bdda625974ab3d3c83495edd1e7,3111111111111333333333313,58.95,100.0,50,0,80,252527.91,166649.55,118445.02,2664902.72,0.0948,0.28,30,50,0.0,0,483,https://polymarket.com/profile/0xe2cf7f3715640bdda625974ab3d3c83495edd1e7
99,0x4dfd481c16d9995b809780fd8a9808e8689f6e4a,Magamyman,57.74,100.0,50,0,67,798658.68,24113.71,24359.34,4643779.46,0.172,164661.91,19,50,8666.42,34.53,140,https://polymarket.com/profile/0x4dfd481c16d9995b809780fd8a9808e8689f6e4a
100,0x916f7165c2c836aba22edb6453cdbb5f3ea253ba,WoofMaster,57.72,100.0,38,0,68,1020631.23,571304.86,221291.07,7280730.35,0.1402,0.0,30,38,0.0,0,92,https://polymarket.com/profile/0x916f7165c2c836aba22edb6453cdbb5f3ea253ba
